RC,proportions,valeurs
PROCÉDURE ADMINISTRATIVE,12.711864406779661,60
DÉPISTAGE ET PRÉVENTION,10.59322033898305,50
VACCINATION,10.16949152542373,48
HTA,4.661016949152542,22
DYSLIPIDÉMIE,2.9661016949152543,14
TABAGISME,2.5423728813559325,12
DÉPRESSION,2.330508474576271,11
DIABÈTE DE TYPE 2,2.330508474576271,11
PSYCHIQUE (TROUBLE),2.11864406779661,10
CONTRACEPTION,1.694915254237288,8
ANOMALIE BIOLOGIQUE SANGUINE,1.4830508474576272,7
ANGINE (AMYGDALITE -PHARYNGITE),1.4830508474576272,7
LOMBALGIE,1.4830508474576272,7
DOULEUR NON CARACTÉRISTIQUE,1.4830508474576272,7
TOUX,1.4830508474576272,7
INSOMNIE,1.2711864406779663,6
PROSTATITE,1.059322033898305,5
ARTHROSE,1.059322033898305,5
RÉACTION TUBERCULINIQUE,1.059322033898305,5
OTITE MOYENNE,1.059322033898305,5
TOXICOMANIE,1.059322033898305,5
IATROGÈNE - EFFET INDÉSIRABLE D’UNE THÉRAPEUTIQUE,0.847457627118644,4
HYPOTHYROÏDIE,0.847457627118644,4
GROSSESSE,0.847457627118644,4
REFLUX - PYROSIS - OESOPHAGITE,0.847457627118644,4
RHINITE,0.847457627118644,4
TREMBLEMENT,0.6355932203389831,3
MIGRAINE,0.6355932203389831,3
CERVICALGIE,0.6355932203389831,3
DERMATOPHYTOSE,0.6355932203389831,3
MORSURE - GRIFFURE,0.6355932203389831,3
DIARRHÉE - NAUSÉE - VOMISSEMENT,0.6355932203389831,3
ENTORSE,0.6355932203389831,3
GOUTTE,0.6355932203389831,3
DERMATOSE,0.6355932203389831,3
ECZÉMA,0.6355932203389831,3
CYSTITE - CYSTALGIE,0.6355932203389831,3
ÉPIGASTRALGIE,0.423728813559322,2
ASTHME,0.423728813559322,2
CONSTIPATION - FECALOME,0.423728813559322,2
SINUSITE,0.423728813559322,2
MÉNOPAUSE (PROBLÈME ET SUIVI),0.423728813559322,2
GALE,0.423728813559322,2
LEUCORRHÉE,0.423728813559322,2
THROMBOPHLÉBITE,0.423728813559322,2
COLOPATHIE FONCTIONNELLE,0.423728813559322,2
ANGOR -INSUFFISANCE CORONARIENNE,0.423728813559322,2
ASTHÉNIE - FATIGUE,0.423728813559322,2
MÉNORRAGIE - MÉTRORRAGIE,0.423728813559322,2
OBÉSITÉ,0.423728813559322,2
SÉNILITÉ (SUJET ÂGÉ FRAGILE),0.423728813559322,2
POST-PARTUM (COMPLICATION),0.423728813559322,2
PLAINTE ABDOMINALE,0.423728813559322,2
ÉPAULE (TÉNOSYNOVITE),0.423728813559322,2
HYPERTHYROÏDIE,0.423728813559322,2
DYSMÉNORRHÉE,0.423728813559322,2
CANCER,0.423728813559322,2
ABDOMEN DOULOUREUX,0.423728813559322,2
STOMATITE - GLOSSITE,0.423728813559322,2
VIRUS IMMUNIODEFICIENCE HUMAINE - VIH,0.423728813559322,2
INSUFFISANCE CARDIAQUE,0.423728813559322,2
PNEUMOPATHIE AIGUË,0.423728813559322,2
OTITE EXTERNE,0.211864406779661,1
CÉRUMEN (BOUCHON DE),0.211864406779661,1
MOLLUSCUM CONTAGIOSUM,0.211864406779661,1
ÉPIGASTRALGIE ,0.211864406779661,1
GLAUCOME,0.211864406779661,1
ANÉMIE (NON FERRIPRIVE),0.211864406779661,1
INCONTINENCE URINAIRE,0.211864406779661,1
LUXATION,0.211864406779661,1
SCIATIQUE,0.211864406779661,1
EMBOLIE PULMONAIRE,0.211864406779661,1
ÉPILEPSIE,0.211864406779661,1
VERRUE,0.211864406779661,1
DÉPRESSION ,0.211864406779661,1
CÉPHALÉE,0.211864406779661,1
FRACTURE,0.211864406779661,1
AMÉNORRHÉE - OLIGOMÉNORRHÉE - HYPOMÉNORRHÉE,0.211864406779661,1
ECZÉMA PALMO-PLANTAIRE DYSHIDROSIQUE,0.211864406779661,1
PARASITOSE DIGESTIVE,0.211864406779661,1
SURCHARGE PONDÉRALE,0.211864406779661,1
BRÛLURE,0.211864406779661,1
PALMO-PLANTAIRE DYSHIDROSIQUE,0.211864406779661,1
DÉMENCE,0.211864406779661,1
DÉCÈS,0.211864406779661,1
HÉPATITE VIRALE,0.211864406779661,1
TRAUMATISME CRÂNIO-CÉRÉBRAL,0.211864406779661,1
SYNDROME ROTULIEN,0.211864406779661,1
ANOREXIE -BOULIMIE,0.211864406779661,1
LANGAGE ORAL ET ÉCRIT (TROUBLE DU),0.211864406779661,1
AMAIGRISSEMENT,0.211864406779661,1
PANARIS,0.211864406779661,1
DIFFICULTÉ SCOLAIRE,0.211864406779661,1
ACNÉ VULGAIRE,0.211864406779661,1
CHEVEUX (CHUTE),0.211864406779661,1
ANÉMIE FERRIPRIVE – CARENCE EN FER,0.211864406779661,1
SOUFFLE CARDIAQUE,0.211864406779661,1
ÉRYTHÈME,0.211864406779661,1
ALGODYSTROPHIE,0.211864406779661,1
ABCÈS SUPERFICIEL,0.211864406779661,1
TUMÉFACTION,0.211864406779661,1
ANGOR -INSUFFISANCE CORONARIENNE ,0.211864406779661,1
ANOMALIE POSTURALE ,0.211864406779661,1
ALCOOL (PROBLÈME AVEC L’),0.211864406779661,1
GOITRE - NODULE THYROÏDIEN,0.211864406779661,1
OSTÉOPOROSE,0.211864406779661,1
CONJONCTIVITE,0.211864406779661,1
"DHL 04 – Maladies endocriniennes, nutritionnelles et métaboliques  ",0.211864406779661,1
NAUSÉE OU VOMISSEMENT,0.211864406779661,1
CANAL CARPIEN,0.211864406779661,1
HERPÈS,0.211864406779661,1
DHL 05 - Troubles mentaux et du comportement,0.211864406779661,1
OEIL (TROUBLE DE LA VISION),0.211864406779661,1
BRONCHIOLITE,0.211864406779661,1
HÉMATURIE,0.211864406779661,1
PRURIT GÉNÉRALISÉ,0.211864406779661,1
COMPORTEMENT (TROUBLES),0.211864406779661,1
INSUFFISANCE RÉNALE - MALADIE RENALE CHRONIQUE,0.211864406779661,1
CRAMPE MUSCULAIRE,0.211864406779661,1
