specialty,proportions,valeurs
Ethique/Communication/Relation,20.632279534109816,124
Pédiatrie,9.650582362728786,58
Cardiologie,9.151414309484194,55
Santé publique (Administratif/Social),8.985024958402663,54
Psychiatrie,6.4891846921797,39
Rhumatologie,5.657237936772046,34
Gynécologie,5.158069883527454,31
Pneumologie,4.9916805324459235,30
Endocrinologie,4.658901830282862,28
Dermatologie,4.159733777038269,25
Infectiologie,3.6605657237936775,22
Gastroentérologie,3.494176372712146,21
ORL,3.3277870216306153,20
Neurologie,3.1613976705490847,19
Urologie,2.828618968386023,17
Orthopédie,2.1630615640599005,13
Néphrologie,0.6655574043261231,4
Ophtalmologie,0.49916805324459235,3
Médecine Interne - Immuno,0.33277870216306155,2
Hématologie,0.33277870216306155,2
