,student_id,internship_id,record_id,tag,FS,PE,RC,order_1,order_2,ped_ambu,specialty,step_5,step_2,ecn_item,skill,step_PEC_TTT,step_diag,step_autre
0,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,01955315-5c67-70b8-8ed8-e0178898a763,SN2-1,FS08,PE08,PROCÉDURE ADMINISTRATIVE,Urgences avant SN1,SN2 avant Pôle femme,non,Santé publique (Administratif/Social),Administratif-Social,Autre,Item 56,C5,0,0,1
1,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,01955315-fe3f-7f7f-a5f1-86b7859376d9,SN2-1,FS01,PE08,HTA,Urgences avant SN1,SN2 avant Pôle femme,non,Cardiologie,PEC-ttt,PEC-ttt,Item 224,C4,1,0,0
2,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,01955316-9328-7a6b-a339-8464fbbd2eec,SN2-1,FS02,PE03,IATROGÈNE - EFFET INDÉSIRABLE D’UNE THÉRAPEUTIQUE,Urgences avant SN1,SN2 avant Pôle femme,non,Orthopédie,PEC-ttt,PEC-ttt,Item 177,C2,1,0,0
3,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,01955319-7f46-7751-9fc8-6fa41cd55491,SN2-1,FS02,PE02,TÉNOSYNOVITE,Urgences avant SN1,SN2 avant Pôle femme,non,Rhumatologie,PEC-ttt,PEC-ttt,Item 361,C4,1,0,0
4,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,01955891-d4fe-70e3-afff-87b3d8148ddb,SN2-1,FS02,PE02,VERTIGE – ÉTAT VERTIGINEUX,Urgences avant SN1,SN2 avant Pôle femme,non,ORL,PEC-ttt,PEC-ttt,Item 103,C4,1,0,0
5,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,01955892-67b3-7517-ba11-915300f72e47,SN2-1,FS01,PE02,PÉRIARTHROPATHIE ARTHROSE ,Urgences avant SN1,SN2 avant Pôle femme,non,Rhumatologie,PEC-ttt,PEC-ttt,Item 129,C4,1,0,0
6,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,01955893-1e0e-7bc4-b1bc-5d643dd56e1c,SN2-1,FS01,PE02,ANXIÉTÉ -ANGOISSE,Urgences avant SN1,SN2 avant Pôle femme,non,Psychiatrie,PEC-ttt,PEC-ttt,Item 66,C4,1,0,0
7,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,01955893-ee29-7cd1-b3ad-6d04dc866c16,SN2-1,FS02,PE02,ECZÉMA,Urgences avant SN1,SN2 avant Pôle femme,non,Dermatologie,PEC-ttt,PEC-ttt,Item 330,C4,1,0,0
8,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,019562f0-099e-743d-af36-32655e5c50ae,SN2-1,FS08,PE08,PROCÉDURE ADMINISTRATIVE,Urgences avant SN1,SN2 avant Pôle femme,non,Santé publique (Administratif/Social),Administratif-Social,Autre,Item 184,C5,0,0,1
9,student 1,0192958d-8f9d-78b2-bd56-0f3e6abbe477,01959f4f-a850-7dc1-9a7e-b1646cde346d,SN2-1,FS02,PE08,IATROGÈNE - EFFET INDÉSIRABLE D’UNE THÉRAPEUTIQUE,Urgences avant SN1,SN2 avant Pôle femme,non,Gastroentérologie,PEC-ttt,PEC-ttt,Item 271,C2,1,0,0
