RC,proportions,valeurs
PROCÉDURE ADMINISTRATIVE,21.75925925925926,47
DÉPRESSION,6.018518518518518,13
VACCINATION,5.555555555555555,12
DÉPISTAGE ET PRÉVENTION,5.092592592592593,11
IATROGÈNE - EFFET INDÉSIRABLE D’UNE THÉRAPEUTIQUE,3.2407407407407405,7
TOUX,3.2407407407407405,7
DIABÈTE DE TYPE 2,3.2407407407407405,7
HTA,2.7777777777777777,6
DYSLIPIDÉMIE,2.314814814814815,5
INSOMNIE,1.3888888888888888,3
ANXIÉTÉ -ANGOISSE,1.3888888888888888,3
TOXICOMANIE,0.9259259259259258,2
TÉNOSYNOVITE,0.9259259259259258,2
VARICELLE,0.9259259259259258,2
PARESTHÉSIE DES MEMBRES,0.9259259259259258,2
DOULEUR NON CARACTÉRISTIQUE,0.9259259259259258,2
ZONA,0.9259259259259258,2
RÉACTION TUBERCULINIQUE,0.9259259259259258,2
DÉMENCE,0.9259259259259258,2
HYPOTHYROÏDIE,0.9259259259259258,2
GROSSESSE,0.9259259259259258,2
SCOLIOSE-ATTITUDE SCOLIOTIQUE,0.9259259259259258,2
VERTIGE - ÉTAT VERTIGINEUX,0.9259259259259258,2
ANOMALIE BIOLOGIQUE SANGUINE,0.9259259259259258,2
LOMBALGIE,0.9259259259259258,2
CONTRACEPTION,0.9259259259259258,2
ACNÉ VULGAIRE,0.9259259259259258,2
ECZÉMA,0.9259259259259258,2
ASTHME,0.9259259259259258,2
URTICAIRE,0.9259259259259258,2
VULVITE - VAGINITE,0.9259259259259258,2
ANGINE (AMYGDALITE -PHARYNGITE),0.9259259259259258,2
ÉNURÉSIE PSYCHOGÈNE,0.4629629629629629,1
ARTHROSE,0.4629629629629629,1
CHEVEUX (CHUTE),0.4629629629629629,1
MIGRAINE,0.4629629629629629,1
PROBLÈME PROFESSIONNEL,0.4629629629629629,1
ACCIDENT VASCULAIRE CÉRÉBRAL,0.4629629629629629,1
PROSTATE (HYPERTROPHIE),0.4629629629629629,1
ANOMALIE POSTURALE,0.4629629629629629,1
CRAMPE MUSCULAIRE,0.4629629629629629,1
OEIL (TROUBLE DE LA VISION),0.4629629629629629,1
ÉRYSIPÈLE,0.4629629629629629,1
?,0.4629629629629629,1
ADÉNOPATHIE,0.4629629629629629,1
ALCOOL (PROBLÈME AVEC L’),0.4629629629629629,1
PSYCHIQUE (TROUBLE),0.4629629629629629,1
FIBROMATOSE PLANTAIRE,0.4629629629629629,1
RHINITE,0.4629629629629629,1
PROBLÈME FAMILIAL,0.4629629629629629,1
CICATRICE,0.4629629629629629,1
VIRUS IMMUNIODEFICIENCE HUMAINE - VIH,0.4629629629629629,1
RONCHOPATHIE - APNÉE DU SOMMEIL,0.4629629629629629,1
ANÉMIE (NON FERRIPRIVE),0.4629629629629629,1
RHINOPHARYNGITE - RHUME,0.4629629629629629,1
SCIATIQUE,0.4629629629629629,1
SYNDROME DE RAYNAUD,0.4629629629629629,1
POST- PARTUM (COMPLICATION),0.4629629629629629,1
VERTIGE – ÉTAT VERTIGINEUX,0.4629629629629629,1
PÉRIARTHROPATHIE ARTHROSE ,0.4629629629629629,1
COL UTÉRIN (ANOMALIE DU),0.4629629629629629,1
ANOREXIE -BOULIMIE,0.4629629629629629,1
ENTORSE,0.4629629629629629,1
PANARIS,0.4629629629629629,1
OTITE MOYENNE,0.4629629629629629,1
HÉMORROÏDE,0.4629629629629629,1
ÉPISTAXIS,0.4629629629629629,1
THROMBOPHLÉBITE,0.4629629629629629,1
SINUSITE,0.4629629629629629,1
DIARRHÉE - NAUSÉE - VOMISSEMENT,0.4629629629629629,1
FIBRILLATION - FLUTTER AURICULAIRES,0.4629629629629629,1
PNEUMOPATHIE AIGUË,0.4629629629629629,1
GALE,0.4629629629629629,1
TENDON (RUPTURE),0.4629629629629629,1
CYSTITE - CYSTALGIE,0.4629629629629629,1
ENGELURE,0.4629629629629629,1
MÉNOPAUSE (PROBLÈME ET SUIVI),0.4629629629629629,1
ANÉMIE FERRIPRIVE - CARENCE EN FER,0.4629629629629629,1
PLAINTES POLYMORPHES (TROUBLE SOMATOFORME),0.4629629629629629,1
LITHIASE URINAIRE,0.4629629629629629,1
CÉRUMEN (BOUCHON DE),0.4629629629629629,1
ASTHÉNIE - FATIGUE,0.4629629629629629,1
SEXUELLE (DYSFONCTION),0.4629629629629629,1
BRONCHITE AIGUË,0.4629629629629629,1
HERPÈS,0.4629629629629629,1
