ecn_item,proportions,valeurs
Item 1,15.17509727626459,39
Item 19,4.669260700389105,12
Item 146,3.501945525291829,9
Item 74,2.7237354085603114,7
Item 204,2.7237354085603114,7
Item 247,2.7237354085603114,7
Item 361,2.3346303501945527,6
Item 224,2.3346303501945527,6
Item 66,1.9455252918287937,5
Item 13,1.9455252918287937,5
Item 16,1.9455252918287937,5
Item 188,1.9455252918287937,5
Item 290,1.9455252918287937,5
Item 326,1.556420233463035,4
Item 184,1.556420233463035,4
Item 270,1.556420233463035,4
Item 110,1.556420233463035,4
Item 94,1.556420233463035,4
Item 17,1.1673151750972763,3
Item 7,1.1673151750972763,3
Item 223,1.1673151750972763,3
Item 155,1.1673151750972763,3
Item 168,1.1673151750972763,3
Item 222,1.1673151750972763,3
Item 149,1.1673151750972763,3
Item 164,1.1673151750972763,3
Item 103,1.1673151750972763,3
Item 239,0.7782101167315175,2
Item 119,0.7782101167315175,2
Item 132,0.7782101167315175,2
Item 128,0.7782101167315175,2
Item 134,0.7782101167315175,2
Item 3,0.7782101167315175,2
Item 159,0.7782101167315175,2
Item 182,0.7782101167315175,2
Item 243,0.7782101167315175,2
Item 23,0.7782101167315175,2
Item 56,0.7782101167315175,2
Item 166,0.7782101167315175,2
Item 187,0.7782101167315175,2
Item 129,0.7782101167315175,2
Item 139,0.7782101167315175,2
Item 175,0.7782101167315175,2
Item 78,0.7782101167315175,2
Item 69,0.7782101167315175,2
Item 111,0.7782101167315175,2
Item 150,0.7782101167315175,2
Item 353,0.7782101167315175,2
Item 133,0.38910505836575876,1
Item 76,0.38910505836575876,1
Item 51,0.38910505836575876,1
Item 99,0.38910505836575876,1
Item 256,0.38910505836575876,1
Item 48,0.38910505836575876,1
Item 113,0.38910505836575876,1
Item 267,0.38910505836575876,1
Item 47,0.38910505836575876,1
Item 174,0.38910505836575876,1
Item 213,0.38910505836575876,1
Item 340,0.38910505836575876,1
Item 127,0.38910505836575876,1
Item 52,0.38910505836575876,1
Item 167,0.38910505836575876,1
Item 144,0.38910505836575876,1
Item 352,0.38910505836575876,1
Item 59,0.38910505836575876,1
Item 319,0.38910505836575876,1
Item 96,0.38910505836575876,1
Item 73,0.38910505836575876,1
Item 232,0.38910505836575876,1
Item 154,0.38910505836575876,1
Item 126,0.38910505836575876,1
Item 177,0.38910505836575876,1
Item 330,0.38910505836575876,1
Item 271,0.38910505836575876,1
Item 162,0.38910505836575876,1
Item 71,0.38910505836575876,1
Item 105,0.38910505836575876,1
Item 349,0.38910505836575876,1
Item 36,0.38910505836575876,1
Item 324,0.38910505836575876,1
Item 185,0.38910505836575876,1
Item 2,0.38910505836575876,1
Item 288,0.38910505836575876,1
Item 87,0.38910505836575876,1
Item 226,0.38910505836575876,1
Item 148,0.38910505836575876,1
Item 176,0.38910505836575876,1
Item 33,0.38910505836575876,1
Item 171,0.38910505836575876,1
Item 161,0.38910505836575876,1
Item 186,0.38910505836575876,1
Item 11,0.38910505836575876,1
Item 124,0.38910505836575876,1
Item 219,0.38910505836575876,1
Item 265,0.38910505836575876,1
Item 248,0.38910505836575876,1
Item 95,0.38910505836575876,1
