specialty,proportions,valeurs
Santé publique (Administratif/Social),17.760617760617762,46
Ethique/Communication/Relation,16.988416988416986,44
Psychiatrie,10.424710424710424,27
Pédiatrie,6.94980694980695,18
Cardiologie,5.7915057915057915,15
Pneumologie,5.7915057915057915,15
ORL,4.633204633204633,12
Dermatologie,4.633204633204633,12
Gynécologie,3.861003861003861,10
Endocrinologie,3.861003861003861,10
Rhumatologie,3.474903474903475,9
Orthopédie,3.474903474903475,9
Neurologie,3.088803088803089,8
Infectiologie,2.3166023166023164,6
Urologie,2.3166023166023164,6
Gastroentérologie,1.9305019305019304,5
Médecine Interne - Immuno,1.5444015444015444,4
Hématologie,0.7722007722007722,2
Ophtalmologie,0.3861003861003861,1
