RC,proportions,valeurs
PROCÉDURE ADMINISTRATIVE,15.55232558139535,107
DÉPISTAGE ET PRÉVENTION,8.866279069767442,61
VACCINATION,8.720930232558139,60
HTA,4.069767441860465,28
DÉPRESSION,3.488372093023256,24
DYSLIPIDÉMIE,2.761627906976744,19
DIABÈTE DE TYPE 2,2.616279069767442,18
TOUX,2.0348837209302326,14
TABAGISME,1.744186046511628,12
PSYCHIQUE (TROUBLE),1.5988372093023258,11
IATROGÈNE - EFFET INDÉSIRABLE D’UNE THÉRAPEUTIQUE,1.5988372093023258,11
CONTRACEPTION,1.4534883720930232,10
LOMBALGIE,1.308139534883721,9
ANGINE (AMYGDALITE -PHARYNGITE),1.308139534883721,9
INSOMNIE,1.308139534883721,9
DOULEUR NON CARACTÉRISTIQUE,1.308139534883721,9
ANOMALIE BIOLOGIQUE SANGUINE,1.308139534883721,9
TOXICOMANIE,1.0174418604651163,7
RÉACTION TUBERCULINIQUE,1.0174418604651163,7
HYPOTHYROÏDIE,0.872093023255814,6
GROSSESSE,0.872093023255814,6
ARTHROSE,0.872093023255814,6
OTITE MOYENNE,0.872093023255814,6
ECZÉMA,0.7267441860465116,5
RHINITE,0.7267441860465116,5
PROSTATITE,0.7267441860465116,5
MIGRAINE,0.5813953488372093,4
CYSTITE - CYSTALGIE,0.5813953488372093,4
ASTHME,0.5813953488372093,4
ENTORSE,0.5813953488372093,4
REFLUX - PYROSIS - OESOPHAGITE,0.5813953488372093,4
DIARRHÉE - NAUSÉE - VOMISSEMENT,0.5813953488372093,4
VIRUS IMMUNIODEFICIENCE HUMAINE - VIH,0.436046511627907,3
TREMBLEMENT,0.436046511627907,3
MORSURE - GRIFFURE,0.436046511627907,3
THROMBOPHLÉBITE,0.436046511627907,3
SINUSITE,0.436046511627907,3
CERVICALGIE,0.436046511627907,3
MÉNOPAUSE (PROBLÈME ET SUIVI),0.436046511627907,3
DERMATOSE,0.436046511627907,3
DERMATOPHYTOSE,0.436046511627907,3
ANXIÉTÉ -ANGOISSE,0.436046511627907,3
