specialty,proportions,valeurs
Ethique/Communication/Relation,19.53488372093023,168
Santé publique (Administratif/Social),11.627906976744185,100
Pédiatrie,8.837209302325581,76
Cardiologie,8.13953488372093,70
Psychiatrie,7.674418604651163,66
Pneumologie,5.232558139534884,45
Rhumatologie,5.0,43
Gynécologie,4.767441860465117,41
Endocrinologie,4.4186046511627906,38
Dermatologie,4.302325581395349,37
ORL,3.7209302325581395,32
Infectiologie,3.255813953488372,28
Neurologie,3.1395348837209305,27
Gastroentérologie,3.0232558139534884,26
Urologie,2.6744186046511627,23
Orthopédie,2.558139534883721,22
Médecine Interne - Immuno,0.6976744186046512,6
Ophtalmologie,0.46511627906976744,4
Néphrologie,0.46511627906976744,4
Hématologie,0.46511627906976744,4
