N° interne,N° SA,SN1/SN2, Famille  de situation,Problématique exemplaire,Urgences-SN1,Ped Ambu,SN2-Gynéco,Titre,Spécialité,5 types d'étapes de raisonnement,2 types d'étapes du raisonnement,Item,RC,Compétences,Compétences certifiées,Notes
1,1,SN1-1,FS01,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,Urgences avant SN1,non,SN2 avant Pôle femme,Objectifs Hba1c,Endocrinologie,PEC-ttt,PEC-ttt,Diabète sucré de types 1 et 2 de l'enfant et de l'adulte. Complications,DIABÈTE DE TYPE 2,"Continuité, suivi, coordination des soins autour du patient",,
1,2,SN1-1,FS08,Procédures médico-administratives,Urgences avant SN1,non,SN2 avant Pôle femme,souffrance au travail,Psychiatrie,PEC-ttt,PEC-ttt,Environnement professionnel et santé au travail,PSYCHIQUE (TROUBLE),"Approche globale, prise en compte de la complexité",,
1,3,SN1-1,FS09,Difficultés relationnelles avec le patient ou son entourage,Urgences avant SN1,non,SN2 avant Pôle femme,SA dire non au patient,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
1,4,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,indication tubertest,Pneumologie,Diagnostic,Diagnostic,Tuberculose de l'adulte et de l'enfant,RÉACTION TUBERCULINIQUE,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
1,5,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA perte de poids involontaire,Médecine Interne - Immuno,Diagnostic,Diagnostic,Amaigrissement à tous les âges,AMAIGRISSEMENT,"Approche globale, prise en compte de la complexité",,
1,6,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA : prise en charge d'un panaris au cabinet,Dermatologie,PEC-ttt,PEC-ttt,"Infection aiguë des parties molles (abcès, panaris, phlegmon des gaines)",PANARIS,"Premier recours, urgences",,
1,7,SN1-1,FS04,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA Harcèlement à l'école,Psychiatrie,PEC-ttt,PEC-ttt,"Diagnostiquer : un trouble dépressif, un trouble anxieux généralisé, un trouble panique, un trouble phobique, un trouble obsessionnel compulsif, un état de stress post-traumatique, un trouble de l'adaptation (de l'enfant à la personne âgée), un trouble de la personnalité",DIFFICULTÉ SCOLAIRE,"Continuité, suivi, coordination des soins autour du patient",,
1,8,SN1-1,FS02,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,Urgences avant SN1,non,SN2 avant Pôle femme,SA métrorragie post ménopause,Gynécologie,Diagnostic,Diagnostic,Anomalies du cycle menstruel. Métrorragies,MÉNORRAGIE - MÉTRORRAGIE,"Continuité, suivi, coordination des soins autour du patient",,
1,9,SN1-1,FS09,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,Urgences avant SN1,non,SN2 avant Pôle femme,sevrage en benzodiazépine,Psychiatrie,PEC-ttt,PEC-ttt,Addiction aux médicaments psychotropes (benzodiazépines et apparentés),TOXICOMANIE,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
1,10,SN1-1,FS02,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,Urgences avant SN1,non,SN2 avant Pôle femme,traitement de l'acnée hormonal et diane 35,Dermatologie,PEC-ttt,PEC-ttt,"Dermatoses faciales : acné, rosacée, dermatite séborrhéique",ACNÉ VULGAIRE,"Approche globale, prise en compte de la complexité",,
2,11,SN1-1,FS08,Procédures médico-administratives,Urgences avant SN1,non,SN2 avant Pôle femme,SA 1 : dépassement d’honoraires,Santé publique (Administratif/Social),Administratif-Social,Autre,La sécurité sociale. L'assurance maladie. Les assurances complémentaires. La complémentaire santé solidaire (CSS). La consommation médicale. Protection sociale. Consommation médicale et économie de la santé.,PROCÉDURE ADMINISTRATIVE,Professionnalisme,,
2,12,SN1-1,FS08,Procédures médico-administratives,Urgences avant SN1,non,SN2 avant Pôle femme,SA2 : cotation des actes,Santé publique (Administratif/Social),Administratif-Social,Autre,La sécurité sociale. L'assurance maladie. Les assurances complémentaires. La complémentaire santé solidaire (CSS). La consommation médicale. Protection sociale. Consommation médicale et économie de la santé.,PROCÉDURE ADMINISTRATIVE,Professionnalisme,,
2,13,SN1-1,FS01,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,Urgences avant SN1,non,SN2 avant Pôle femme,SA3 : examen clinique et RO,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,L'organisation de l'exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient,0,Professionnalisme,,
2,14,SN1-1,FS09,Prescriptions médicamenteuses nouvelles,Urgences avant SN1,non,SN2 avant Pôle femme,SA 4-sevrage tabagique,Pneumologie,Prévention-Education,Autre,Addiction au tabac,TABAGISME,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
2,15,SN1-1,FS09,Difficultés relationnelles avec le patient ou son entourage,Urgences avant SN1,non,SN2 avant Pôle femme,Communication non violente,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
2,16,SN1-1,FS04,Situations de soins non programmés vous ayant posé problème,Urgences avant SN1,non,SN2 avant Pôle femme,SA6-diversification alimentaire,Pédiatrie,Prévention-Education,Autre,Alimentation et besoins nutritionnels du nourrisson et de l'enfant,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
2,17,SN1-1,FS02,Difficultés relationnelles avec le patient ou son entourage,Urgences avant SN1,non,SN2 avant Pôle femme,SA7-relation confiance médecin/patient,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
2,18,SN1-1,FS01,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,Urgences avant SN1,non,SN2 avant Pôle femme,SA8 : statines,Cardiologie,PEC-ttt,PEC-ttt,Dyslipidémies,DYSLIPIDÉMIE,"Premier recours, urgences",,
